Vehicle ID,Game ID,Game,Manufacturer,Vehicle Name,Vehicle Name Alternative,Year,How to Obtain,Value,Performance Index Class,Performance Index Number,Type,Era,Country,Rarity,Rarity Rating,Speed Rating,Acceleration Rating,Braking Rating,Handling Rating,Launch Rating,Offroad Rating,Link
35,1,Forza Motorsport 1,Chevrolet,Chevrolet Camaro Z28 (1969),Chevrolet Camaro Z28,1969,Base Game,76000,C4,,,,,,7.0,4.9,4.6,4.1,4.2,,,https://forza.fandom.com/wiki/Chevrolet_Camaro_Z28_(1969)
36,1,Forza Motorsport 1,Chevrolet,Chevrolet Corvette C6,,2005,Base Game,66000,A3,,,,,,5.5,6.7,6.4,4.6,4.7,,,https://forza.fandom.com/wiki/Chevrolet_Corvette_C6
37,1,Forza Motorsport 1,Chevrolet,Chevrolet Corvette Guldstrand Edition,,2003,Base Game,193000,S4,,,,,,8.7,7.5,6.8,4.9,4.9,,,https://forza.fandom.com/wiki/Chevrolet_Corvette_Guldstrand_Edition
38,1,Forza Motorsport 1,Chevrolet,Chevrolet Corvette Stingray 427,,1967,Base Game,93000,B1,,,,,,7.2,5.6,6.4,4.3,4.2,,,https://forza.fandom.com/wiki/Chevrolet_Corvette_Stingray_427
39,1,Forza Motorsport 1,Chevrolet,Chevrolet Corvette Z06 (2002),Chevrolet Corvette Z06,2002,Base Game,64000,A2,,,,,,5.6,6.8,6.3,4.7,4.8,,,https://forza.fandom.com/wiki/Chevrolet_Corvette_Z06_(2002)
40,1,Forza Motorsport 1,Chrysler,Chrysler ME Four-Twelve Concept,Chrysler ME Four-Twelve,2005,Base Game,300000,S1,,,,,,10.0,9.9,8.5,5.9,5.7,,,https://forza.fandom.com/wiki/Chrysler_ME_Four-Twelve_Concept
41,1,Forza Motorsport 1,Chrysler,Chrysler PT Cruiser GT Turbo,,2004,Base Game,21000,D3,,,,,,4.3,4.7,4.5,4.1,4.1,,,https://forza.fandom.com/wiki/Chrysler_PT_Cruiser_GT_Turbo
42,1,Forza Motorsport 1,Dodge,Dodge #1 Team Zakspeed Viper ACR,Dodge Viper GTS-R (2002),2002,Base Game,275000,R-GT,,,,,,9.8,6.5,7.3,6.3,6.2,,,https://forza.fandom.com/wiki/Dodge_Viper_GTS-R_(2002)
43,1,Forza Motorsport 1,Dodge,Dodge #22 Viper Competition Coupe,Dodge Viper Competition Coupe,2004,Base Game,287000,R-GT,,,,,,9.8,6.8,7.4,6.6,6.6,,,https://forza.fandom.com/wiki/Dodge_Viper_Competition_Coupe
44,1,Forza Motorsport 1,Dodge,Dodge #23 Viper Competition Coupe,Dodge Viper Competition Coupe,2003,Base Game,287000,R-GT,,,,,,9.8,6.8,7.4,6.6,6.6,,,https://forza.fandom.com/wiki/Dodge_Viper_Competition_Coupe
45,1,Forza Motorsport 1,Dodge,Dodge Challenger R/T Hemi,,1970,Base Game,66000,B2,,,,,,6.7,5.5,5.5,4.1,4.2,,,https://forza.fandom.com/wiki/Dodge_Challenger_R/T_Hemi
46,1,Forza Motorsport 1,Dodge,Dodge SRT4,,2003,Base Game,24000,C3,,,,,,4.3,5.8,4.9,4.2,4.3,,,https://forza.fandom.com/wiki/Dodge_SRT4
47,1,Forza Motorsport 1,Dodge,Dodge Stealth R/T Turbo,,1996,Base Game,42000,B2,,,,,,5.2,5.9,6.2,4.5,4.6,,,https://forza.fandom.com/wiki/Dodge_Stealth_R/T_Turbo
48,1,Forza Motorsport 1,Dodge,Dodge Viper Competition Coupe,,2003,Base Game,186000,S3,,,,,,8.2,7.4,7.3,5.5,5.5,,,https://forza.fandom.com/wiki/Dodge_Viper_Competition_Coupe
49,1,Forza Motorsport 1,Dodge,Dodge Viper GTS ACR,,1999,Base Game,107000,A1,,,,,,6.7,7.5,6.9,5.1,5.1,,,https://forza.fandom.com/wiki/Dodge_Viper_GTS_ACR
50,1,Forza Motorsport 1,Dodge,Dodge Viper SRT10,,2003,Base Game,100000,A1,,,,,,6.5,7.2,6.9,5.0,4.9,,,https://forza.fandom.com/wiki/Dodge_Viper_SRT10
51,1,Forza Motorsport 1,Ferrari,Ferrari #12 Risi Competizione F333 SP,Ferrari F333 SP,1998,Base Game,500000,R-P1,,,,,,10.0,7.7,9.1,9.9,9.9,,,https://forza.fandom.com/wiki/Ferrari_F333_SP
52,1,Forza Motorsport 1,Ferrari,Ferrari #88 IMSA 550 Maranello,Ferrari 550 Maranello,2003,Base Game,387000,R-GTS,,,,,,9.8,7.5,9.2,6.8,6.7,,,https://forza.fandom.com/wiki/Ferrari_550_Maranello
53,1,Forza Motorsport 1,Ferrari,Ferrari 250 GTO (1964),Ferrari 250 GTO,1964,Base Game,176000,B2,,,,,,9.1,5.9,5.8,4.1,4.2,,,https://forza.fandom.com/wiki/Ferrari_250_GTO_(1964)
54,1,Forza Motorsport 1,Ferrari,Ferrari 330 P4,,1967,Base Game,247000,S3,,,,,,9.4,7.7,8.3,4.9,5.0,,,https://forza.fandom.com/wiki/Ferrari_330_P4
55,1,Forza Motorsport 1,Ferrari,Ferrari 355 GTS,,1998,Base Game,75000,A3,,,,,,6.0,6.8,6.5,4.9,5.0,,,https://forza.fandom.com/wiki/Ferrari_355_GTS
56,1,Forza Motorsport 1,Ferrari,Ferrari 360 Modena,,2004,Base Game,178000,A3,,,,,,5.8,6.8,6.7,5.0,4.9,,,https://forza.fandom.com/wiki/Ferrari_360_Modena
57,1,Forza Motorsport 1,Ferrari,Ferrari 512 TR,,1993,Base Game,87000,A2,,,,,,6.5,7.0,6.4,4.7,4.7,,,https://forza.fandom.com/wiki/Ferrari_512_TR
58,1,Forza Motorsport 1,Ferrari,Ferrari 575M Maranello,,2002,Base Game,155000,A1,,,,,,8.2,7.7,6.6,4.6,4.7,,,https://forza.fandom.com/wiki/Ferrari_575M_Maranello
59,1,Forza Motorsport 1,Ferrari,Ferrari 612 Scaglietti,,2005,Base Game,71000,A2,,,,,,5.9,7.6,6.4,4.8,4.7,,,https://forza.fandom.com/wiki/Ferrari_612_Scaglietti
60,1,Forza Motorsport 1,Ferrari,Ferrari Challenge Stradale,,2003,Base Game,149000,A2,,,,,,8.1,7.5,6.5,5.1,5.0,,,https://forza.fandom.com/wiki/Ferrari_Challenge_Stradale
61,1,Forza Motorsport 1,Ferrari,Ferrari Dino 246 GT,,1969,Base Game,90000,C3,,,,,,7.5,5.5,5.0,4.4,4.4,,,https://forza.fandom.com/wiki/Ferrari_Dino_246_GT
62,1,Forza Motorsport 1,Ferrari,Ferrari Enzo Ferrari,,2002,Base Game,293000,S2,,,,,,9.9,8.5,8.2,5.5,5.5,,,https://forza.fandom.com/wiki/Ferrari_Enzo_Ferrari
63,1,Forza Motorsport 1,Ferrari,Ferrari F40,,1992,Base Game,230000,S3,,,,,,9.3,7.6,6.6,5.1,5.2,,,https://forza.fandom.com/wiki/Ferrari_F40
64,1,Forza Motorsport 1,Ferrari,Ferrari F50,,1995,Base Game,267000,S3,,,,,,9.8,7.7,7.7,5.3,5.3,,,https://forza.fandom.com/wiki/Ferrari_F50
65,1,Forza Motorsport 1,Ferrari,Ferrari 355 GTS,,1998,Base Game,159000,A2,,,,,,8.1,6.8,6.8,5.2,5.3,,,https://forza.fandom.com/wiki/Ferrari_355_GTS
66,1,Forza Motorsport 1,Ferrari,Ferrari GTO,,1984,Base Game,212000,A2,,,,,,9.2,6.9,6.7,4.6,4.7,,,https://forza.fandom.com/wiki/Ferrari_GTO
67,1,Forza Motorsport 1,Ford,Ford #10 Tiger Racing Mustang,Ford 10 Tiger Racing Mustang,2004,Base Game,274000,R-GT,,,,,,9.8,6.2,7.5,6.2,6.1,,,https://forza.fandom.com/wiki/Ford_10_Tiger_Racing_Mustang
68,1,Forza Motorsport 1,Ford,Ford Focus SVT,,2003,Base Game,21000,D3,,,,,,4.3,4.5,4.4,4.3,4.4,,,https://forza.fandom.com/wiki/Ford_Focus_SVT
69,1,Forza Motorsport 1,Ford,Ford GT (2005),Ford GT,2005,Base Game,178000,A1,,,,,,7.2,7.3,6.7,5.2,5.2,,,https://forza.fandom.com/wiki/Ford_GT_(2005)
70,1,Forza Motorsport 1,Ford,Ford Mustang Cobra R (2000),Ford Mustang Cobra R,2000,Base Game,50000,B1,,,,,,5.4,6.5,5.8,4.5,4.5,,,https://forza.fandom.com/wiki/Ford_Mustang_Cobra_R_(2000)
71,1,Forza Motorsport 1,Ford,Ford Mustang GT (2005),Ford Mustang GT,2005,Base Game,41000,B3,,,,,,5.3,5.7,5.4,4.5,4.5,,,https://forza.fandom.com/wiki/Ford_Mustang_GT_(2005)
72,1,Forza Motorsport 1,Ford,Ford Shelby Mustang GT-500KR,,1968,Base Game,61000,B3,,,,,,6.7,4.9,5.6,4.2,4.2,,,https://forza.fandom.com/wiki/Ford_Shelby_Mustang_GT-500KR
73,1,Forza Motorsport 1,Honda,Honda #8 ARTA NSX,Honda NSX (GT500),2003,Base Game,393000,R-GTS,,,,,,9.9,6.5,7.6,6.7,6.7,,,https://forza.fandom.com/wiki/Honda_NSX_(GT500)
74,1,Forza Motorsport 1,Honda,Honda #16 G'ZOX NSX,Honda NSX (GT500),2003,Base Game,393000,R-GTS,,,,,,9.9,6.5,7.8,6.9,6.9,,,https://forza.fandom.com/wiki/Honda_NSX_(GT500)
75,1,Forza Motorsport 1,Honda,Honda #18 TAKATA DOME NSX,Honda NSX (GT500),2003,Base Game,393000,R-GTS,,,,,,9.9,6.5,7.8,6.9,6.9,,,https://forza.fandom.com/wiki/Honda_NSX_(GT500)
76,1,Forza Motorsport 1,Honda,Honda Accord Coupe EX,,2004,Base Game,22000,D1,,,,,,4.2,5.9,4.6,4.2,4.3,,,https://forza.fandom.com/wiki/Honda_Accord_Coupe_EX
77,1,Forza Motorsport 1,Honda,Honda Aerogear Integra Type-R,,2000,Base Game,37000,D1,,,,,,5.7,5.2,4.0,4.6,4.6,,,https://forza.fandom.com/wiki/Honda_Aerogear_Integra_Type-R
78,1,Forza Motorsport 1,Honda,Honda Civic Del Sol VTEC,,1995,Base Game,20000,D4,,,,,,4.1,4.7,4.1,4.2,4.3,,,https://forza.fandom.com/wiki/Honda_Civic_Del_Sol_VTEC
79,1,Forza Motorsport 1,Honda,Honda Civic Si (1994),Honda Civic Si,1994,Base Game,20000,D4,,,,,,4.1,4.6,4.1,4.2,4.3,,,https://forza.fandom.com/wiki/Honda_Civic_Si_(1994)
80,1,Forza Motorsport 1,Honda,Honda Civic Si Coupe (1999),Honda Civic Si Coupe,1999,Base Game,20000,D4,,,,,,4.0,4.8,4.0,4.2,4.3,,,https://forza.fandom.com/wiki/Honda_Civic_Si_Coupe_(1999)
81,1,Forza Motorsport 1,Honda,Honda Civic Type-R (2004),Honda Civic Type-R,2004,Base Game,21000,D1,,,,,,4.0,5.5,4.6,4.3,4.4,,,https://forza.fandom.com/wiki/Honda_Civic_Type-R_(2004)
82,1,Forza Motorsport 1,Honda,Honda CR-X SiR,,1991,Base Game,20000,D3,,,,,,4.1,4.7,4.3,4.3,4.4,,,https://forza.fandom.com/wiki/Honda_CR-X_SiR
83,1,Forza Motorsport 1,Honda,Honda Integra Type-R (2000),Honda Integra Type-R,2000,Base Game,22000,D1,,,,,,4.1,5.1,4.6,4.4,4.5,,,https://forza.fandom.com/wiki/Honda_Integra_Type-R_(2000)
84,1,Forza Motorsport 1,Honda,Honda Integra Type-R (2002),Honda Integra Type-R,2002,Base Game,23000,C3,,,,,,4.4,5.4,4.9,4.3,4.4,,,https://forza.fandom.com/wiki/Honda_Integra_Type-R_(2002)
85,1,Forza Motorsport 1,Honda,Honda Mugen Civic Type-R,,2004,Base Game,93000,C1,,,,,,7.5,5.2,5.3,4.6,4.7,,,https://forza.fandom.com/wiki/Honda_Mugen_Civic_Type-R
86,1,Forza Motorsport 1,Honda,Honda Mugen Integra Type-R,,2002,Base Game,95000,B4,,,,,,7.5,5.7,5.4,4.4,4.6,,,https://forza.fandom.com/wiki/Honda_Mugen_Integra_Type-R
87,1,Forza Motorsport 1,Honda,Honda Mugen S2000,,2003,Base Game,98000,B4,,,,,,7.6,5.3,5.2,4.5,4.5,,,https://forza.fandom.com/wiki/Honda_Mugen_S2000
88,1,Forza Motorsport 1,Honda,Honda NSX-R (1992),Honda NSX-R,1992,Base Game,56000,B2,,,,,,5.8,6.2,5.7,4.5,4.6,,,https://forza.fandom.com/wiki/Honda_NSX-R_(1992)
89,1,Forza Motorsport 1,Honda,Honda NSX-R (2005),Honda NSX-R,2005,Base Game,56000,B3,,,,,,6.0,6.1,5.3,4.5,4.5,,,https://forza.fandom.com/wiki/Honda_NSX-R_(2005)
90,1,Forza Motorsport 1,Honda,Honda Prelude Type SH,,2000,Base Game,20000,D2,,,,,,4.1,5.3,4.3,4.1,4.2,,,https://forza.fandom.com/wiki/Honda_Prelude_Type_SH
91,1,Forza Motorsport 1,Honda,Honda S2000,,2003,Base Game,21000,C4,,,,,,4.3,5.1,4.7,4.3,4.4,,,https://forza.fandom.com/wiki/Honda_S2000
92,1,Forza Motorsport 1,Honda,Honda Wings West Civic,,2004,Base Game,38000,C4,,,,,,5.7,5.3,4.9,4.4,4.4,,,https://forza.fandom.com/wiki/Honda_Wings_West_Civic
93,1,Forza Motorsport 1,Hyundai,Hyundai Tiburon GT,,2003,Base Game,20000,D3,,,,,,4.0,5.5,4.4,4.2,4.2,,,https://forza.fandom.com/wiki/Hyundai_Tiburon_GT
94,1,Forza Motorsport 1,Infiniti,Infiniti G35 Coupe,,2003,Base Game,28000,C2,,,,,,5.0,5.1,5.2,4.3,4.4,,,https://forza.fandom.com/wiki/Infiniti_G35_Coupe
95,1,Forza Motorsport 1,Jaguar,Jaguar E-type S1,Jaguar E-Type S1,1961,Base Game,43000,D1,,,,,,6.0,4.7,5.2,4.0,4.0,,,https://forza.fandom.com/wiki/Jaguar_E-type_S1
96,1,Forza Motorsport 1,Jaguar,Jaguar XJ220,,1993,Base Game,263000,S3,,,,,,9.7,8.3,7.4,5.4,5.4,,,https://forza.fandom.com/wiki/Jaguar_XJ220
97,1,Forza Motorsport 1,Koenigsegg,Koenigsegg CC8S,,2002,Base Game,280000,S2,,,,,,9.7,8.7,8.3,5.5,5.5,,,https://forza.fandom.com/wiki/Koenigsegg_CC8S
98,1,Forza Motorsport 1,Lancia,Lancia Delta Integrale EVO,,1992,Base Game,23000,D1,,,,,,4.7,4.8,5.0,4.3,4.4,,,https://forza.fandom.com/wiki/Lancia_Delta_Integrale_EVO
99,1,Forza Motorsport 1,Lancia,Lancia Stratos HF Stradale,,1974,Base Game,66000,C3,,,,,,6.8,5.5,5.5,4.4,4.4,,,https://forza.fandom.com/wiki/Lancia_Stratos_HF_Stradale
100,1,Forza Motorsport 1,Lexus,Lexus IS300,,2003,Base Game,20000,D2,,,,,,4.2,5.1,4.7,4.3,4.3,,,https://forza.fandom.com/wiki/Lexus_IS300
101,1,Forza Motorsport 1,Lexus,Lexus SC430,,2002,Base Game,31000,C4,,,,,,5.2,5.9,5.1,4.3,4.4,,,https://forza.fandom.com/wiki/Lexus_SC430
102,1,Forza Motorsport 1,Lotus,Lotus Elan Sprint,,1971,Base Game,55000,D4,,,,,,6.5,4.0,4.9,4.2,4.2,,,https://forza.fandom.com/wiki/Lotus_Elan_Sprint
103,1,Forza Motorsport 1,Lotus,Lotus Elise,,2005,Base Game,25000,C2,,,,,,4.2,5.7,5.1,4.4,4.6,,,https://forza.fandom.com/wiki/Lotus_Elise
104,1,Forza Motorsport 1,Lotus,Lotus Elise 111S,,2002,Base Game,28000,B4,,,,,,4.4,5.0,5.2,4.5,4.6,,,https://forza.fandom.com/wiki/Lotus_Elise_111S
105,1,Forza Motorsport 1,Lotus,Lotus Esprit V8,,2002,Base Game,61000,A3,,,,,,5.3,6.5,6.7,4.8,4.9,,,https://forza.fandom.com/wiki/Lotus_Esprit_V8
106,1,Forza Motorsport 1,Lotus,Lotus Exige,,2005,Base Game,51000,B2,,,,,,6.0,5.3,5.9,4.8,4.9,,,https://forza.fandom.com/wiki/Lotus_Exige
107,1,Forza Motorsport 1,Mazda,Mazda 3 Sport,,2004,Base Game,20000,D3,,,,,,4.0,4.2,4.3,4.3,4.3,,,https://forza.fandom.com/wiki/Mazda_3_Sport
108,1,Forza Motorsport 1,Mazda,Mazda AB Flug RX-7,,1995,Base Game,79000,A4,,,,,,6.7,5.6,6.1,5.1,5.2,,,https://forza.fandom.com/wiki/Mazda_AB_Flug_RX-7
109,1,Forza Motorsport 1,Mazda,Mazda INGS RX-7,,1995,Base Game,81000,A4,,,,,,6.8,5.6,5.9,5.1,5.1,,,https://forza.fandom.com/wiki/Mazda_INGS_RX-7
110,1,Forza Motorsport 1,Mazda,Mazda Miata MX-5 1.8i Sport,,2000,Base Game,20000,D3,,,,,,4.0,4.1,4.4,4.3,4.4,,,https://forza.fandom.com/wiki/Mazda_Miata_MX-5_1.8i_Sport
111,1,Forza Motorsport 1,Mazda,Mazda MX-5 Mazdaspeed,,2000,Base Game,21000,D2,,,,,,4.3,4.4,4.8,4.4,4.5,,,https://forza.fandom.com/wiki/Mazda_MX-5_Mazdaspeed
112,1,Forza Motorsport 1,Mazda,Mazda Protege Mazdaspeed,,2003,Base Game,21000,D3,,,,,,4.3,5.0,4.4,4.3,4.4,,,https://forza.fandom.com/wiki/Mazda_Protege_Mazdaspeed
113,1,Forza Motorsport 1,Mazda,Mazda RX-7 Turbo (1990),Mazda RX-7 Turbo,1990,Base Game,22000,D1,,,,,,4.3,5.4,5.0,4.4,4.4,,,https://forza.fandom.com/wiki/Mazda_RX-7_Turbo_(1990)
114,1,Forza Motorsport 1,Mazda,Mazda RX-7,Mazda RX-7 Turbo,1995,Base Game,32000,B4,,,,,,4.9,6.0,5.5,4.6,4.6,,,https://forza.fandom.com/wiki/Mazda_RX-7
115,1,Forza Motorsport 1,Mazda,Mazda RX-7 Spirit R,,2002,Base Game,37000,B4,,,,,,5.3,5.7,5.5,4.5,4.5,,,https://forza.fandom.com/wiki/Mazda_RX-7_Spirit_R
116,1,Forza Motorsport 1,Mazda,Mazda RX-8,,2004,Base Game,23000,C4,,,,,,4.4,5.3,5.0,4.4,4.4,,,https://forza.fandom.com/wiki/Mazda_RX-8
117,1,Forza Motorsport 1,Mazda,Mazda RX-8 Mazdaspeed,,2004,Base Game,28000,C4,,,,,,5.1,5.3,4.7,4.5,4.5,,,https://forza.fandom.com/wiki/Mazda_RX-8_Mazdaspeed
118,1,Forza Motorsport 1,Mercedes-Benz,Mercedes #3 CLK-DTM,Mercedes CLK-DTM,2003,Base Game,387000,R-GTS,,,,,,9.8,7.1,7.5,6.4,6.4,,,https://forza.fandom.com/wiki/Mercedes_CLK-DTM
119,1,Forza Motorsport 1,Mercedes-Benz,Mercedes #11 D2 CLK-GTR,Mercedes CLK-GTR,2003,Base Game,500000,R-P1,,,,,,10.0,7.0,7.9,7.3,7.4,,,https://forza.fandom.com/wiki/Mercedes_CLK-GTR
120,1,Forza Motorsport 1,Mercedes-Benz,Mercedes-Benz 300 SL Coupé,Mercedes 300SL Gullwing Coupe,1954,Base Game,78000,D1,,,,,,7.2,5.4,5.1,4.3,4.3,,,https://forza.fandom.com/wiki/Mercedes-Benz_300_SL_Coupé
121,1,Forza Motorsport 1,Mercedes-Benz,Mercedes-Benz C 32 AMG,Mercedes-Benz C32 AMG,2004,Base Game,31000,B4,,,,,,4.6,6.1,5.4,4.4,4.4,,,https://forza.fandom.com/wiki/Mercedes-Benz_C_32_AMG
